rho,kappa,method,makespan
0.5R,1,GCCS,2.8977783913017956
0.5R,1,HEFT,3.2455117982580113
0.5R,1,Hydra,3.12980676646723
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.9347263564639294
0.5R,2,HEFT,3.286893519239601
0.5R,2,Hydra,3.3099717061173366
0.5R,2,MRSA,3.1108099378517653
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,3.6677592970347037
0.5R,4,MRSA,3.1836850929496125
0.5R,8,GCCS,3.1199229636834773
0.5R,8,HEFT,3.4943137193254943
0.5R,8,Hydra,4.481163090079463
0.5R,8,MRSA,3.307118341504486
1R,1,GCCS,1.4353285087924668
1R,1,HEFT,1.607567929847563
1R,1,Hydra,1.692607475848129
1R,1,MRSA,1.8338705503671557
1R,2,GCCS,1.464715753614488
1R,2,HEFT,1.6404816440482266
1R,2,Hydra,1.7488341525104205
1R,2,MRSA,1.6923861658405586
1R,4,GCCS,1.5062592526014522
1R,4,HEFT,1.6870103629136268
1R,4,Hydra,2.04561080478263
1R,4,MRSA,1.635131225780285
1R,8,GCCS,1.6368947950993087
1R,8,HEFT,1.8333221705112257
1R,8,Hydra,2.38912778004811
1R,8,MRSA,1.735108482805267
2R,1,GCCS,1.4277550090745903
2R,1,HEFT,1.5990856101635413
2R,1,Hydra,1.5447157481410387
2R,1,MRSA,1.5134203096190657
2R,2,GCCS,1.4277550090745903
2R,2,HEFT,1.5990856101635413
2R,2,Hydra,1.5688233640980278
2R,2,MRSA,1.5134203096190657
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.7406722162588715
2R,4,MRSA,1.5134203096190657
2R,8,GCCS,1.4277550090745903
2R,8,HEFT,1.5990856101635413
2R,8,Hydra,2.0411602050377713
2R,8,MRSA,1.5134203096190657
4R,1,GCCS,1.417447737484645
4R,1,HEFT,1.5875414659828027
4R,1,Hydra,1.548905398591087
4R,1,MRSA,1.502494601733724
4R,2,GCCS,1.417447737484645
4R,2,HEFT,1.5875414659828027
4R,2,Hydra,1.5919924368915115
4R,2,MRSA,1.5024946017337237
4R,4,GCCS,1.417447737484645
4R,4,HEFT,1.5875414659828027
4R,4,Hydra,1.5757746252794145
4R,4,MRSA,1.5024946017337237
4R,8,GCCS,1.417447737484645
4R,8,HEFT,1.5875414659828029
4R,8,Hydra,1.850937929657962
4R,8,MRSA,1.5024946017337237
